Timestamp,Service,CPU Request,Memory Request,CPU Limit,Memory Limit,Latency,CPU Usage,Memory Usage,CPU Throttling,Memory Working Set
2025-05-12T17:26:22.018000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.013927372310769846,0.003015892493207169,133435392,69.666115,131035136
2025-05-12T17:26:52.121000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.015395768901251909,0.0029622591891581436,133562368,69.742305,131162112
2025-05-12T17:27:22.219000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.01569700606146974,0.0030059793918677793,133562368,69.742305,131162112
2025-05-12T17:27:52.312000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.015411233166837152,0.002956738274447845,133767168,69.742305,131366912
2025-05-12T17:28:22.411000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.015702070383659665,0.0029982821294278752,133767168,69.742305,131366912
2025-05-12T17:28:52.508000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.015468722710625877,0.002979266592477676,134103040,69.882725,131702784
2025-05-12T17:29:22.600000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.015745132490286116,0.003019315705374221,134103040,69.882725,131702784
2025-05-12T17:29:52.683000,rand-pw-gen-deployment,0.1,134217728,0.18,242221056,0.015794768286521352,0.002978882790103946,134103040,69.882725,131702784
2025-05-12T17:30:22.764000,rand-pw-gen-deployment,0.1,134217728,0.18,242221056,0.01588886264013311,0.0029684962641912394,134103040,69.882725,131702784
2025-05-12T17:30:52.921000,rand-pw-gen-deployment,0.1,134217728,0.18,242221056,0.01598854651181509,0.005160822673769595,134103040,69.882725,131702784
2025-05-12T17:31:23.147000,rand-pw-gen-deployment,0.1,134217728,0.18,242221056,0.0160944946999644,0.005100086382834875,134103040,69.882725,131702784
2025-05-12T17:31:53.377000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.01619809713705451,0.00509008799319497,134103040,69.882725,131702784
2025-05-12T17:32:23.576000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.016258781554354357,0.005079611197652923,134103040,69.882725,131702784
2025-05-12T17:32:53.757000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.016366279026425096,0.010012241156655397,134103040,69.882725,131702784
2025-05-12T17:33:23.879000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.01647388355107477,0.011335743391700369,134103040,69.882725,131702784
2025-05-12T17:33:53.959000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.01658506730603869,0.009615442462166366,124706816,108.286423,124645376
2025-05-12T17:34:24.044000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.01668513740223208,0.010408222523245246,124706816,108.286423,124645376
2025-05-12T17:34:54.129000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.016800679502908006,0.00924694324295841,124706816,108.286423,124645376
2025-05-12T17:35:24.213000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.017978722879841903,0.009786627836175761,124706816,108.286423,124645376
2025-05-12T17:35:54.317000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.018367933104246694,0.00887467053819829,134975488,97.973882,134754304
2025-05-12T17:36:24.402000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.01866958557023941,0.00926552780427536,134975488,97.973882,134754304
2025-05-12T17:36:54.493000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.01904396356204643,0.008735293997328692,135168000,97.973882,134946816
2025-05-12T17:37:24.575000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.018555457840694085,0.009048686334268492,135168000,97.973882,134946816
2025-05-12T17:37:54.653000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.018821722342834236,0.008710679427330273,135360512,97.980982,135139328
2025-05-12T17:38:24.742000,rand-pw-gen-deployment,0.1,134217728,0.16,216006656,0.019281192659815444,0.008976842207983952,135360512,97.980982,135139328
2025-05-12T17:38:54.835000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.019561757792413682,0.008755071169322375,135360512,97.980982,135139328
2025-05-12T17:39:24.912000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.019561263662978706,0.008745249370323704,135360512,97.980982,135139328
2025-05-12T17:39:55.006000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.01969850277621956,0.008731771242120549,135360512,97.980982,135139328
2025-05-12T17:40:25.098000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.01984492502160188,0.008722010677781073,135360512,97.980982,135139328
2025-05-12T17:40:55.197000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.019981837611952286,0.008977414376513797,135360512,97.980982,135139328
2025-05-12T17:41:25.307000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.020134215419784447,0.009043866490227289,135360512,97.980982,135139328
2025-05-12T17:41:55.392000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.020289956071825405,0.008979469727484589,135360512,97.980982,135139328
2025-05-12T17:42:25.481000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.03356541643892834,0.009021929819858233,135360512,97.980982,135139328
2025-05-12T17:42:55.574000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.037231483688605495,0.008989047555941725,136400896,68.366977,132583424
2025-05-12T17:43:25.666000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.03269321212637824,0.00902150299051043,136400896,68.366977,132583424
2025-05-12T17:43:55.764000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.03492579001070252,0.00899249505762713,136658944,68.526946,132841472
2025-05-12T17:44:25.855000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.03356547251820415,0.009018059138681792,136658944,68.526946,132841472
2025-05-12T17:44:55.951000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.03533625464174141,0.009009427512052973,136925184,68.670792,133107712
2025-05-12T17:45:26.050000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.03704758335907635,0.009031839515399247,136925184,68.670792,133107712
2025-05-12T17:45:56.143000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.038809504810964714,0.009024572253875051,137129984,68.874914,133312512
2025-05-12T17:46:26.243000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.042713146082728165,0.009044607018444461,137129984,68.874914,133312512
2025-05-12T17:46:56.346000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.04465630991433253,0.009048393837926756,137265152,68.918107,133447680
2025-05-12T17:47:26.431000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.04397952421071634,0.009067323372773243,137265152,68.918107,133447680
2025-05-12T17:47:56.514000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.045734301695814314,0.00905260455841796,137379840,68.946288,133562368
2025-05-12T17:48:26.598000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.0453850079090263,0.009069385309907564,137379840,68.946288,133562368
2025-05-12T17:48:56.696000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.047003450131549614,0.009046779612174434,137494528,69.010895,133677056
2025-05-12T17:49:26.789000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.046686671905293284,0.009051671234324519,137494528,69.010895,133677056
2025-05-12T17:49:56.877000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.048231999887342926,0.009058294688132622,137568256,69.091445,133750784
2025-05-12T17:50:26.959000,rand-pw-gen-deployment,0.1,134217728,0.2,268435456,0.0481111581155292,0.00907301097065368,137568256,69.091445,133750784
