Timestamp,Service,CPU Request,Memory Request,CPU Limit,Memory Limit,Latency,CPU Usage,Memory Usage,Request Rate
2025-06-30T11:59:58.751000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0007854588445027538,0.01928126845080789,174751744,0
2025-06-30T12:00:29.283000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0007890900344339907,0.019084396345579645,173043712,0
2025-06-30T12:00:59.788000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.000790637348208362,0.019382141521477683,173043712,0
2025-06-30T12:01:30.286000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008026546986954392,0.01911335277581908,173252608,0
2025-06-30T12:02:00.756000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008048102080764713,0.019402194498097984,173252608,0
2025-06-30T12:02:31.197000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.000807321371365014,0.019139986483299343,173404160,0
2025-06-30T12:03:01.581000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008094896702231763,0.019419958461064372,173404160,0
2025-06-30T12:03:31.975000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008206111076919677,0.019204592196510974,172105728,0
2025-06-30T12:04:02.354000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008232003132799217,0.0194774910001765,172105728,0
2025-06-30T12:04:32.914000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008252633530818346,0.019221683818106884,170651648,0
2025-06-30T12:05:03.298000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008278291761406494,0.01948730278865181,170651648,0
2025-06-30T12:05:33.754000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008299006158798765,0.02142396902201497,178708480,0
2025-06-30T12:06:04.114000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008324442040485888,0.021711830107192596,178708480,0
2025-06-30T12:06:34.489000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008614480597296606,0.022498273432048986,178962432,0
2025-06-30T12:07:04.964000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008704026142569198,0.022793785415685462,178962432,0
2025-06-30T12:07:35.353000,rand-pw-gen-deployment,0.3,268435456,0.3,268435456,0.0008431012749335454,0.02348482850450654,179707904,0
